Departamentos;ventas_mañana;ventas_tarde;ventas_noche;ventas_totales;igv;transaccion_total;codigo_producto;membresia;tipo_atencion;tipo_clientes;cantidad_deboluciones
Puno;4910;924;1049;6883;1238.94;46;DSQYYW;SI;deficiente;exigentes;71
Tumbes;6637;1737;2301;10675;1921.5;48;YQDW3X;SI;exelente ;exigentes;22
Amazonas;7232;4249;7708;19189;3454.02;4;SIGB7W;NO;estandar;indecisos;67
Amazonas;2331;4629;3462;10422;1875.96;14;MBEYIA;SI;estandar;leales ;42
Ancash;1034;3045;4607;8686;1563.48;35;DMPCDA;NO;estandar;exigentes;48
Cajamarca;2085;3133;7122;12340;2221.2;17;H3EHY3;NO;deficiente;indecisos;38
La Libertad;9581;2284;3231;15096;2717.28;20;CAB4MI;NO;deficiente;leales ;56
Cajamarca;9090;3830;7632;20552;3699.36;22;IGMCWZ;NO;exelente ;exigentes;21
Huancavelica;4426;4832;5292;14550;2619;6;Z3Y4IE;NO;buena;indecisos;80
Cajamarca;6893;3805;3451;14149;2546.82;27;QCGZXC;NO;deficiente;indecisos;39
Huancavelica;9695;3951;3370;17016;3062.88;5;PBBYDC;SI;exelente ;leales ;36
Piura;5411;4328;7780;17519;3153.42;23;4HZ488;SI;estandar;leales ;77
Junin;2678;1965;4876;9519;1713.42;11;CAEBQP;SI;estandar;indecisos;28
Tumbes;2381;3100;2386;7867;1416.06;17;GWPIWA;SI;exepcional;indecisos;42
Moquegua;7288;1821;2567;11676;2101.68;46;YA3YDS;SI;exelente ;leales ;47
Lima;5913;4863;7865;18641;3355.38;47;YQAEEB;SI;exelente ;leales ;65
Puno;8080;4128;4334;16542;2977.56;45;ABQPYZ;SI;exepcional;exigentes;69
Amazonas;8423;4338;3247;16008;2881.44;5;Q33GWW;SI;estandar;indecisos;61
Loreto;1795;925;6650;9370;1686.6;46;PIB4MQ;SI;estandar;indecisos;41
Junin;2646;1014;2374;6034;1086.12;38;3HQA8P;SI;deficiente;leales ;36
Pasco;1151;4690;7843;13684;2463.12;32;AAG4X3;NO;buena;exigentes;71
Lima;1048;1599;2798;5445;980.1;32;ID4EPZ;SI;estandar;leales ;30
Puno;5675;3500;6234;15409;2773.62;9;WC83B4;NO;exepcional;leales ;73
Ucayali;5494;3531;7218;16243;2923.74;7;Y4X8GG;NO;estandar;exigentes;40
Tumbes;9140;3842;2470;15452;2781.36;27;HXIAXS;SI;estandar;indecisos;23
Piura;1398;4820;2688;8906;1603.08;2;YAD4PY;SI;estandar;exigentes;43
Ica;3338;3920;7154;14412;2594.16;26;3HY3XW;SI;exelente ;indecisos;33
Huancavelica;1330;4764;1496;7590;1366.2;36;MEB78W;NO;exepcional;leales ;31
Cajamarca;7520;2771;3858;14149;2546.82;5;CAQ8WA;NO;exelente ;exigentes;29
Puno;7510;1799;4097;13406;2413.08;44;W83CPD;SI;estandar;exigentes;64
Ica;8384;3064;6479;17927;3226.86;42;QHW87Y;SI;estandar;exigentes;49
La Libertad;5839;2383;1381;9603;1728.54;2;8BHCES;NO;buena;leales ;62
Amazonas;6585;4347;5916;16848;3032.64;15;HPWSHE;NO;deficiente;indecisos;65
Huanuco;6708;3117;3225;13050;2349;49;ZCEYEW;SI;exepcional;leales ;32
Lima;7899;4598;6885;19382;3488.76;32;QCWHD7;SI;buena;leales ;42
Amazonas;1077;2389;5373;8839;1591.02;2;8PP3EH;SI;deficiente;exigentes;51
Lima;4916;1221;5781;11918;2145.24;17;Y3GPH3;NO;deficiente;exigentes;64
La Libertad;6599;3524;5054;15177;2731.86;33;GCZQ7Q;SI;deficiente;leales ;51
La Libertad;6209;1258;4902;12369;2226.42;8;QBDQ3S;SI;deficiente;exigentes;31
Lima;4218;2841;3305;10364;1865.52;11;4344AE;NO;exelente ;exigentes;38
Arequipa;9522;2568;3448;15538;2796.84;12;SWQCXB;NO;exepcional;indecisos;33
Apurimac;9038;1463;7979;18480;3326.4;9;SBIIH3;NO;estandar;leales ;63
Huancavelica;3094;1675;3689;8458;1522.44;47;EMSBCZ;SI;exelente ;leales ;52
Ayacucho;4889;4968;6000;15857;2854.26;9;P3CH8B;SI;deficiente;indecisos;74
Piura;8327;2146;3413;13886;2499.48;15;8AIY8G;SI;deficiente;leales ;36
San Martin;7948;4384;3835;16167;2910.06;33;CEY4AE;NO;buena;indecisos;72
Puno;2356;1367;6747;10470;1884.6;35;M3Z4HQ;SI;buena;indecisos;52
Cajamarca;3639;1953;7864;13456;2422.08;19;3WB7Y7;NO;estandar;indecisos;75
Lambayeque;8177;1150;3279;12606;2269.08;41;QPIHHG;SI;deficiente;exigentes;29
Apurimac;3524;2250;1414;7188;1293.84;28;YPYPQI;NO;estandar;leales ;79
Ayacucho;6467;3403;7067;16937;3048.66;2;DWQZ44;SI;exepcional;leales ;23
Ancash;2139;1782;5769;9690;1744.2;12;CXQ8WE;NO;buena;indecisos;55
Cajamarca;2133;2986;1487;6606;1189.08;41;QZWGQM;SI;exelente ;leales ;41
Moquegua;7327;3369;1112;11808;2125.44;35;IHA8CA;NO;estandar;indecisos;71
Ayacucho;6532;2521;3920;12973;2335.14;31;BXECZX;NO;buena;leales ;79
Huanuco;4655;3676;7415;15746;2834.28;49;ZSZG7M;NO;estandar;indecisos;33
Loreto;9909;4258;1625;15792;2842.56;30;SDQXQG;SI;exepcional;leales ;72
Lambayeque;9510;2196;5735;17441;3139.38;3;A7WSIY;SI;exepcional;exigentes;77
Pasco;2979;4148;6697;13824;2488.32;18;ESPQHX;SI;buena;indecisos;73
Piura;4667;1952;2663;9282;1670.76;11;S73MZ7;SI;estandar;exigentes;75
Loreto;7195;3373;6080;16648;2996.64;11;YABEP8;SI;deficiente;exigentes;51
Madre de Dios;1351;4637;3093;9081;1634.58;48;Y37ASB;NO;buena;indecisos;38
Lambayeque;6910;2424;5359;14693;2644.74;50;Z7BHPI;SI;exelente ;exigentes;30
Huanuco;9603;4080;6632;20315;3656.7;9;3QSWXY;SI;estandar;indecisos;63
Junin;3894;2784;6379;13057;2350.26;38;4WG3HH;SI;exelente ;indecisos;46
Cajamarca;3965;1272;5215;10452;1881.36;7;XAD8AY;SI;buena;leales ;22
Lima;5403;2956;4898;13257;2386.26;6;P3BP8D;SI;deficiente;indecisos;78
Puno;8346;1560;966;10872;1956.96;28;IYI3YY;SI;exelente ;indecisos;79
Ica;1556;2559;2365;6480;1166.4;4;HIZIIG;NO;exelente ;leales ;47
Puno;8177;2832;5928;16937;3048.66;2;B88SDP;SI;deficiente;indecisos;39
Junin;7574;1644;3873;13091;2356.38;50;3S8XAD;NO;exelente ;indecisos;37
Lambayeque;7609;2935;5269;15813;2846.34;39;WAQ4HZ;SI;buena;leales ;70
San Martin;4679;4320;6178;15177;2731.86;48;HPYDWH;NO;exelente ;exigentes;78
Ica;2036;4460;5044;11540;2077.2;44;B3P4GX;SI;exepcional;indecisos;70
Ancash;6380;2225;6896;15501;2790.18;11;WHWC7H;NO;exepcional;indecisos;22
Lima;5739;4019;4951;14709;2647.62;47;AE77BB;NO;estandar;exigentes;57
Tumbes;7542;4969;7904;20415;3674.7;2;ZAXSZW;SI;estandar;indecisos;53
Lima;8889;1880;1720;12489;2248.02;24;4SYIDA;NO;exelente ;indecisos;79
Cuzco;2594;3654;7913;14161;2548.98;39;XACYG8;NO;estandar;indecisos;27
Tacna;1887;3971;5906;11764;2117.52;35;X8MAZX;SI;estandar;leales ;22
Lima;7133;1964;3894;12991;2338.38;22;C7BICH;NO;exelente ;indecisos;64
Ancash;1686;1321;4422;7429;1337.22;38;CY4PPM;SI;estandar;indecisos;46
Ica;7484;3236;3603;14323;2578.14;14;QIA8XW;NO;estandar;leales ;56
Piura;5225;2182;7065;14472;2604.96;28;MWSQ4Y;SI;estandar;leales ;40
Moquegua;5186;3604;4383;13173;2371.14;38;HQIYZS;NO;exepcional;exigentes;21
Junin;6025;1389;7958;15372;2766.96;27;DAA4IZ;SI;exelente ;indecisos;23
Apurimac;8971;1288;964;11223;2020.14;3;7ASWGH;NO;deficiente;indecisos;20
Puno;7508;4202;5109;16819;3027.42;44;G4P3X3;NO;exepcional;leales ;42
Tumbes;9138;3684;6426;19248;3464.64;12;XAAIBY;SI;exelente ;leales ;75
Tumbes;1726;2954;5610;10290;1852.2;5;PBHMGZ;SI;deficiente;leales ;59
Ucayali;1172;1867;1957;4996;899.28;23;HIPSSY;SI;exepcional;leales ;60
La Libertad;5226;3703;5707;14636;2634.48;35;7YZXEH;SI;exepcional;indecisos;23
Cuzco;5724;3938;3712;13374;2407.32;26;IDP87Q;NO;exepcional;exigentes;56
Huanuco;2751;3924;3318;9993;1798.74;29;8AEWDI;SI;exepcional;leales ;46
Piura;1409;2564;4735;8708;1567.44;31;X3GG83;SI;exepcional;leales ;23
Tacna;4747;4331;2102;11180;2012.4;26;WMPMPA;SI;exepcional;leales ;65
La Libertad;5808;3426;1844;11078;1994.04;45;BBICI3;SI;exelente ;indecisos;51
Moquegua;7559;1861;5067;14487;2607.66;46;YGX8GB;NO;buena;exigentes;57
Huanuco;5051;3084;3100;11235;2022.3;21;CG7SMQ;SI;buena;leales ;47
Lima;1203;1835;2134;5172;930.96;32;HA38IZ;SI;estandar;exigentes;71
Lambayeque;6336;4200;2256;12792;2302.56;22;D87SGP;SI;deficiente;indecisos;43
Ucayali;6025;925;7550;14500;2610;28;CAG3PE;NO;exepcional;leales ;69
Cajamarca;5309;3735;6146;15190;2734.2;9;47QXHD;NO;estandar;indecisos;80
Arequipa;6458;4413;6418;17289;3112.02;39;8DBW87;NO;exelente ;leales ;26
Tacna;3777;1855;7046;12678;2282.04;34;833C3Y;SI;exepcional;exigentes;79
Loreto;3558;1128;5779;10465;1883.7;39;XHSDPH;NO;estandar;exigentes;29
Apurimac;1523;993;6539;9055;1629.9;43;ZMPAWC;SI;exepcional;exigentes;63
Piura;2653;3563;2100;8316;1496.88;20;3XMGES;NO;exelente ;leales ;50
Ucayali;9787;4092;6270;20149;3626.82;21;Y4IADA;NO;buena;exigentes;46
Junin;1435;1514;1000;3949;710.82;30;HIHA8C;SI;estandar;leales ;44
Puno;7498;2292;1147;10937;1968.66;35;M87IWI;NO;deficiente;exigentes;32
Ica;3060;1534;5314;9908;1783.44;8;YIGDAI;SI;estandar;exigentes;70
Piura;7804;3948;7139;18891;3400.38;31;WHWBD3;NO;buena;exigentes;48
Tacna;1488;1242;6111;8841;1591.38;42;E7IYQX;NO;exepcional;indecisos;22
Madre de Dios;5890;2113;6071;14074;2533.32;37;PDMSZ8;SI;deficiente;indecisos;47
Lambayeque;6875;3018;7015;16908;3043.44;17;74AQY4;SI;buena;exigentes;49
Apurimac;1454;3512;7810;12776;2299.68;37;QSWS43;SI;exepcional;leales ;59
Ucayali;7672;1278;6199;15149;2726.82;15;EAG7AM;SI;exepcional;leales ;35
Piura;6436;3118;920;10474;1885.32;13;MAX34A;SI;exepcional;exigentes;29
Junin;7512;2100;4856;14468;2604.24;42;3BYGHI;SI;exelente ;indecisos;61
Cuzco;6319;2482;6503;15304;2754.72;25;HCDYPY;SI;exepcional;indecisos;59
Junin;2991;1283;2387;6661;1198.98;21;4MEZA7;SI;exelente ;indecisos;74
Huanuco;9858;3931;2929;16718;3009.24;7;E8MMP7;NO;buena;leales ;78
Pasco;1713;3336;3288;8337;1500.66;13;HYID7P;SI;buena;indecisos;40
Tacna;3904;1663;2104;7671;1380.78;18;HMASIY;SI;buena;leales ;21
Cajamarca;3341;4093;3945;11379;2048.22;6;Q3ZBH8;SI;buena;exigentes;55
Cajamarca;7180;3120;6856;17156;3088.08;30;887I8A;NO;buena;leales ;37
Apurimac;1984;3159;1407;6550;1179;27;XGM4QQ;NO;exepcional;leales ;69
Ica;7501;2594;7647;17742;3193.56;10;7WHYY4;NO;exepcional;leales ;77
Huancavelica;5914;3458;3870;13242;2383.56;49;EAXBQE;NO;buena;exigentes;39
Cuzco;6014;1434;4876;12324;2218.32;4;Q7CCSE;SI;exepcional;indecisos;73
San Martin;8952;4667;1982;15601;2808.18;16;3BY7ED;NO;exelente ;leales ;76
Tacna;5759;4509;4494;14762;2657.16;20;PMQXBP;NO;buena;indecisos;36
Ancash;2886;3729;6629;13244;2383.92;33;I47HAI;NO;buena;indecisos;76
San Martin;2235;4655;4285;11175;2011.5;46;G7EAHZ;SI;exepcional;leales ;68
Tumbes;6991;4306;7706;19003;3420.54;38;7B8MPA;SI;exelente ;exigentes;35
Tacna;8673;1095;6859;16627;2992.86;17;AY7X3Y;NO;exepcional;leales ;71
Pasco;2463;4551;7230;14244;2563.92;4;Q7IZX8;NO;deficiente;indecisos;45
Ica;8009;2684;7307;18000;3240;8;HM8EPG;NO;exepcional;indecisos;27
Apurimac;1351;2870;4132;8353;1503.54;16;38WHZP;SI;estandar;leales ;67
La Libertad;7004;1829;5443;14276;2569.68;3;73D3AX;SI;exelente ;indecisos;31
Junin;9424;3378;3578;16380;2948.4;36;EQWXZH;NO;exepcional;exigentes;53
Ancash;4413;4477;1472;10362;1865.16;13;SQAQYS;SI;exepcional;indecisos;30
Cuzco;1947;2407;5886;10240;1843.2;47;B3EG4M;SI;exelente ;exigentes;55
Tumbes;2582;2519;1905;7006;1261.08;50;77ZGX8;NO;exelente ;leales ;28
Junin;1564;2861;6769;11194;2014.92;34;SHZ888;SI;estandar;indecisos;28
Lima;2204;4835;2043;9082;1634.76;25;IISP3X;SI;buena;leales ;70
Madre de Dios;7823;4218;6696;18737;3372.66;24;3AHP4Y;SI;exelente ;leales ;62
Piura;9746;4310;3214;17270;3108.6;23;ZP3BGC;SI;buena;leales ;49
Ica;8279;4675;4335;17289;3112.02;25;WDMGX3;SI;exelente ;indecisos;49
Ucayali;3800;4875;3401;12076;2173.68;8;SIZYAM;NO;buena;indecisos;25
Amazonas;9459;4479;3111;17049;3068.82;48;GY7ZQM;NO;estandar;exigentes;71
Ucayali;4472;1954;1055;7481;1346.58;36;HCE4Z8;SI;exepcional;indecisos;45
Apurimac;1389;1108;3781;6278;1130.04;32;M4HQQ8;SI;deficiente;exigentes;74
Ica;3379;3366;1065;7810;1405.8;32;Y7S47G;NO;estandar;exigentes;43
Tacna;6323;4031;5646;16000;2880;28;XMCAA4;SI;exelente ;exigentes;30
Apurimac;9059;4697;7571;21327;3838.86;39;MCXAQ7;SI;estandar;indecisos;56
San Martin;2380;4219;7640;14239;2563.02;28;XAIEWI;NO;deficiente;leales ;75
Madre de Dios;7677;3073;4301;15051;2709.18;5;AMM8CH;NO;deficiente;leales ;29
Huancavelica;6498;3904;1385;11787;2121.66;21;PEIQDG;SI;exelente ;indecisos;43
Loreto;3834;3789;2926;10549;1898.82;3;YXAY3W;SI;exepcional;leales ;76
Lima;1564;4968;1324;7856;1414.08;24;CSYAEG;SI;exepcional;exigentes;32
Arequipa;5932;4888;1119;11939;2149.02;30;HPIHEM;SI;deficiente;indecisos;29
Lima;1842;4003;4156;10001;1800.18;12;GGCDHE;SI;deficiente;indecisos;31
Ica;6683;2839;3808;13330;2399.4;16;CMWBM3;SI;buena;exigentes;44
Lima;9316;2762;5751;17829;3209.22;18;GS4XXP;NO;deficiente;leales ;39
La Libertad;3930;3451;4047;11428;2057.04;26;ZAWDYM;SI;deficiente;exigentes;43
Amazonas;4656;1468;4673;10797;1943.46;39;4Q3IS3;SI;deficiente;exigentes;52
San Martin;8790;4281;6230;19301;3474.18;21;XYPM4X;NO;exelente ;indecisos;71
Lima;4577;1744;2840;9161;1648.98;14;XZYGXP;NO;exelente ;indecisos;63
Ancash;4199;3461;4867;12527;2254.86;32;ZEYB4E;SI;estandar;exigentes;42
Lambayeque;3221;4436;7208;14865;2675.7;17;DZDBES;SI;deficiente;indecisos;32
Madre de Dios;8355;1417;4954;14726;2650.68;5;GDWZ47;NO;estandar;indecisos;46
Puno;1406;2363;7933;11702;2106.36;26;7QED4W;NO;buena;indecisos;47
Arequipa;4135;2173;5114;11422;2055.96;18;ZZX3ES;SI;buena;leales ;20
San Martin;2788;2199;2159;7146;1286.28;2;X3GBCM;SI;estandar;leales ;54
Arequipa;3401;4580;5977;13958;2512.44;2;GQP8ZE;NO;deficiente;leales ;73
Huanuco;6715;1422;7795;15932;2867.76;7;3GBAHH;SI;estandar;indecisos;34
Lambayeque;6520;4153;4629;15302;2754.36;2;AEEHZH;SI;estandar;leales ;43
Cuzco;1014;1085;935;3034;546.12;31;Z73BC3;NO;buena;leales ;22
Puno;5969;2539;1292;9800;1764;26;BXGCX4;NO;estandar;leales ;47
Amazonas;4544;1735;7290;13569;2442.42;27;Z33QBZ;NO;estandar;indecisos;72
San Martin;2382;954;4118;7454;1341.72;9;MG3GPW;SI;exelente ;indecisos;70
San Martin;3219;2254;6264;11737;2112.66;9;73S44H;NO;estandar;indecisos;37
Pasco;9271;2852;6664;18787;3381.66;23;7ZCSHQ;SI;deficiente;exigentes;55
Ayacucho;4769;2969;5471;13209;2377.62;46;A4BCCW;NO;exepcional;indecisos;73
Huancavelica;7873;3414;5397;16684;3003.12;41;HXI8G4;SI;estandar;exigentes;27
Tumbes;4301;3109;1836;9246;1664.28;6;GWCZZB;NO;buena;indecisos;24
Madre de Dios;9057;4901;1109;15067;2712.06;18;4AQBSB;NO;buena;indecisos;62
Apurimac;4644;4663;1665;10972;1974.96;32;CDWDCC;NO;deficiente;exigentes;64
Lima;7495;1515;5328;14338;2580.84;39;Y3QYH8;NO;buena;indecisos;36
San Martin;4841;1745;2101;8687;1563.66;38;Z7XS83;SI;exelente ;exigentes;73
La Libertad;4212;2196;7961;14369;2586.42;42;HED43B;NO;buena;exigentes;31
Lima;9057;2787;1568;13412;2414.16;40;IH3WG4;NO;exelente ;leales ;75
La Libertad;9678;2864;6323;18865;3395.7;7;QM4EA4;SI;estandar;indecisos;75
Huanuco;3153;3519;6436;13108;2359.44;31;B8PCED;NO;buena;leales ;70
Tumbes;4531;3085;1426;9042;1627.56;38;Z47P44;SI;estandar;leales ;21
Loreto;2128;2217;7077;11422;2055.96;16;P4AEPZ;NO;exelente ;leales ;33
Amazonas;1645;1169;2159;4973;895.14;34;4CHZCW;SI;deficiente;leales ;71
Moquegua;2942;2214;2538;7694;1384.92;44;YAX7EB;SI;deficiente;exigentes;79
Piura;3508;1870;5377;10755;1935.9;26;MII8ZZ;NO;exelente ;exigentes;75
Arequipa;2785;2337;1037;6159;1108.62;45;WZPYMA;NO;exelente ;indecisos;34
Arequipa;3656;4305;1638;9599;1727.82;37;SBAMDZ;SI;deficiente;exigentes;77
Piura;6912;2604;2112;11628;2093.04;27;DAQXMI;SI;deficiente;leales ;57
Huanuco;3719;4915;4427;13061;2350.98;43;SGBDQ7;SI;exepcional;indecisos;20
Junin;5500;1935;2493;9928;1787.04;18;PZACI3;SI;exepcional;leales ;38
Ucayali;7636;3933;4515;16084;2895.12;4;Q3MEPE;NO;buena;exigentes;54
Moquegua;7908;4633;5549;18090;3256.2;43;DG4PSG;SI;deficiente;indecisos;74
Huanuco;6023;2415;5649;14087;2535.66;45;C3MAGY;NO;deficiente;exigentes;51
San Martin;4918;2198;5411;12527;2254.86;24;XQ4XCG;SI;estandar;indecisos;58
Tumbes;6572;3181;5079;14832;2669.76;19;BQMMG4;SI;estandar;exigentes;24
Tumbes;6962;4647;3370;14979;2696.22;13;Z7AAMQ;NO;estandar;indecisos;60
Tacna;5721;3584;1631;10936;1968.48;12;7HQ78Q;SI;deficiente;exigentes;54
Apurimac;1465;4032;2335;7832;1409.76;14;37CZG8;SI;deficiente;exigentes;37
Ayacucho;1123;903;4538;6564;1181.52;32;SB8XHZ;NO;buena;exigentes;54
Arequipa;3718;3055;2400;9173;1651.14;48;QABEYQ;SI;buena;leales ;41
Loreto;9949;4811;6665;21425;3856.5;50;H7APP3;SI;deficiente;leales ;63
Lima;1000;4041;5808;10849;1952.82;16;8PCBIS;SI;buena;indecisos;61
Madre de Dios;7040;2592;2619;12251;2205.18;2;388Z3C;NO;deficiente;indecisos;64
Tacna;8848;1965;6905;17718;3189.24;16;YDCHGG;SI;exelente ;indecisos;49
Amazonas;7055;2480;5551;15086;2715.48;21;WHZ837;SI;exepcional;leales ;24
San Martin;1939;4542;5010;11491;2068.38;26;3XZ4SD;SI;exelente ;indecisos;30
Ancash;4742;2290;2273;9305;1674.9;31;A8GXA3;SI;exepcional;leales ;25
Arequipa;1740;2487;7162;11389;2050.02;3;CZMX7S;NO;buena;exigentes;58
Loreto;2442;4417;3200;10059;1810.62;42;GXG3BC;NO;estandar;leales ;50
Cuzco;6603;4687;4538;15828;2849.04;45;7AHXXX;SI;buena;leales ;49
Madre de Dios;8574;3438;973;12985;2337.3;21;I4IXE3;NO;exepcional;exigentes;40
Arequipa;6632;1437;3931;12000;2160;29;I3MWHZ;SI;deficiente;leales ;70
Cajamarca;4071;2277;4590;10938;1968.84;17;XDGASX;SI;exelente ;exigentes;80
Moquegua;7893;2086;1476;11455;2061.9;23;IS7W4X;SI;estandar;indecisos;27
Moquegua;9783;1426;4392;15601;2808.18;7;DP7IYZ;SI;exelente ;leales ;25
Tacna;3746;1534;3156;8436;1518.48;31;38GYCH;SI;estandar;exigentes;61
Lambayeque;5510;2174;5342;13026;2344.68;45;AD3WGI;SI;exelente ;exigentes;64
Huanuco;6648;1083;7266;14997;2699.46;26;33DCZ8;NO;exelente ;exigentes;23
Cuzco;7447;2828;7555;17830;3209.4;7;IC3P4E;SI;estandar;indecisos;30
Pasco;6761;4456;4029;15246;2744.28;45;QBSQWE;NO;exepcional;exigentes;30
Junin;3633;2955;4097;10685;1923.3;49;MIAZB4;NO;deficiente;exigentes;21
Lambayeque;6739;3354;2012;12105;2178.9;8;YCAGW7;NO;estandar;indecisos;29
Huanuco;2099;1609;3111;6819;1227.42;37;ISBXCA;NO;exelente ;leales ;49
Junin;5209;3915;7724;16848;3032.64;21;C33G7Q;SI;deficiente;indecisos;59
Madre de Dios;7887;3598;5880;17365;3125.7;22;EXM78Q;SI;estandar;leales ;63
Cajamarca;4579;4253;5012;13844;2491.92;3;ESYZQH;SI;exepcional;exigentes;25
Ayacucho;6526;4485;5352;16363;2945.34;9;PZ3DQ4;NO;deficiente;leales ;33
Cajamarca;7922;4438;999;13359;2404.62;22;YWPG4Q;SI;estandar;indecisos;56
Moquegua;4119;4474;6742;15335;2760.3;21;Y8QQWH;SI;deficiente;leales ;22
Moquegua;4688;4840;1032;10560;1900.8;29;A7B8GC;NO;deficiente;leales ;63
Huanuco;8675;2913;4921;16509;2971.62;26;Z4DZXB;NO;estandar;exigentes;47
Arequipa;4045;2654;5792;12491;2248.38;2;EZDAM3;NO;deficiente;exigentes;64
Ica;3450;4739;3395;11584;2085.12;10;7DCBBW;NO;estandar;indecisos;41
Lima;4007;4865;2414;11286;2031.48;26;7Z7QSA;NO;buena;leales ;42
Arequipa;8795;2330;6182;17307;3115.26;17;YMDAGA;NO;buena;indecisos;67
Ayacucho;8910;3033;6772;18715;3368.7;3;ZEYBYG;NO;buena;exigentes;42
Ucayali;5019;3703;2313;11035;1986.3;16;4ZICGM;SI;exelente ;leales ;61
Apurimac;3407;2947;3405;9759;1756.62;15;7BZCSH;NO;exepcional;leales ;76
Tacna;1139;3015;5008;9162;1649.16;29;HHCIBW;NO;deficiente;exigentes;36
Pasco;8035;1991;2865;12891;2320.38;28;PZHCXZ;NO;buena;exigentes;44
Huancavelica;2128;4599;7871;14598;2627.64;31;CQMZMQ;SI;deficiente;exigentes;78
Tacna;6604;3226;6170;16000;2880;49;7PAGQI;NO;exelente ;exigentes;57
La Libertad;5282;4246;1777;11305;2034.9;20;Y8S8GZ;NO;exepcional;exigentes;65
Piura;8048;2126;2624;12798;2303.64;49;SBDWZ4;NO;buena;exigentes;76
Pasco;8931;1246;6609;16786;3021.48;33;4BAWBH;NO;exepcional;indecisos;78
Ancash;3214;1545;963;5722;1029.96;14;7AAWGZ;SI;buena;indecisos;45
Ancash;2374;3525;4167;10066;1811.88;8;CA3DYY;SI;deficiente;exigentes;47
Apurimac;9516;1952;7001;18469;3324.42;25;EZYQEG;NO;buena;exigentes;41
Piura;9182;2036;2122;13340;2401.2;41;WWZ44S;NO;estandar;leales ;23
Lima;6430;1464;1981;9875;1777.5;34;3ADEWS;NO;exepcional;leales ;61
La Libertad;9332;3698;6305;19335;3480.3;3;XIXAPX;NO;exelente ;indecisos;34
Lima;9772;4209;1328;15309;2755.62;48;DMIWBC;SI;deficiente;indecisos;47
Lima;6592;2997;6310;15899;2861.82;25;MICMZQ;SI;exepcional;leales ;69
Tacna;7520;2847;5940;16307;2935.26;35;ACGSEM;SI;deficiente;indecisos;66
Arequipa;9613;2136;6068;17817;3207.06;50;Z4ZMQS;NO;exepcional;exigentes;25
Lima;9874;2226;7261;19361;3484.98;3;AQQPQI;SI;exepcional;indecisos;69
Tacna;7069;3600;5190;15859;2854.62;6;Q8QB3G;SI;exepcional;indecisos;48
Lima;3176;4344;6989;14509;2611.62;6;8HMWWZ;SI;exepcional;leales ;24
Moquegua;9129;1629;2603;13361;2404.98;3;HD3WB3;NO;exepcional;leales ;45
Lambayeque;7617;1288;1626;10531;1895.58;25;BIZ4YS;SI;exepcional;indecisos;50
Lambayeque;4612;2777;6902;14291;2572.38;10;BQBDHA;NO;buena;indecisos;44
Lambayeque;6579;2337;3201;12117;2181.06;46;Y8QAZA;SI;deficiente;leales ;72
Lambayeque;1000;4757;5744;11501;2070.18;4;HAQQWQ;SI;exepcional;leales ;49
Puno;1908;3894;7352;13154;2367.72;25;PQME3B;NO;exepcional;exigentes;75
Moquegua;7523;4413;2148;14084;2535.12;31;EYME8H;NO;estandar;leales ;29
Pasco;8161;4564;5021;17746;3194.28;23;C7DHZH;SI;buena;indecisos;46
Loreto;1785;2224;1724;5733;1031.94;50;ZDXW8P;SI;buena;exigentes;70
Piura;2106;4130;6976;13212;2378.16;14;44ZDMG;NO;estandar;leales ;59
Pasco;3786;3937;5217;12940;2329.2;19;XMY43M;SI;deficiente;indecisos;28
Lambayeque;7266;3969;7060;18295;3293.1;12;GXHESI;NO;deficiente;exigentes;51
Lambayeque;1056;4882;2385;8323;1498.14;44;AYPIZD;SI;buena;indecisos;24
Junin;1939;1483;4122;7544;1357.92;29;483ISA;NO;buena;exigentes;58
Tumbes;9972;3459;7779;21210;3817.8;16;ZYGA8Z;NO;estandar;leales ;56
Huanuco;9238;4643;3304;17185;3093.3;50;3A48ZA;SI;estandar;leales ;24
Madre de Dios;8378;4384;7244;20006;3601.08;20;Q4S4BM;NO;deficiente;indecisos;49
Huanuco;8617;1969;5212;15798;2843.64;45;G8PXW3;SI;buena;leales ;60
Ancash;3064;3491;7162;13717;2469.06;12;Z3ZSYX;NO;estandar;exigentes;52
Cajamarca;4929;4189;2141;11259;2026.62;9;43M44P;NO;estandar;leales ;31
Pasco;1532;1969;1447;4948;890.64;19;CPZXSG;SI;deficiente;indecisos;29
Ucayali;9643;3238;4770;17651;3177.18;21;4YCEZQ;SI;exelente ;leales ;47
Puno;9712;3357;1363;14432;2597.76;42;EB4AWM;NO;buena;exigentes;24
Cuzco;3963;2174;5353;11490;2068.2;24;7I7IMY;SI;exepcional;indecisos;48
Ayacucho;8751;3285;6107;18143;3265.74;9;PIDZBE;NO;exepcional;exigentes;63
Ancash;1019;4387;5157;10563;1901.34;50;IPCA3Y;SI;buena;indecisos;20
Pasco;9237;1997;4664;15898;2861.64;33;EHEAS8;SI;buena;exigentes;22
Ica;8521;1306;3621;13448;2420.64;46;4ZIWBI;SI;estandar;leales ;79
Pasco;1427;4595;3091;9113;1640.34;28;QWS87Q;SI;exepcional;indecisos;79
Cajamarca;1656;4710;1473;7839;1411.02;17;HEXGY8;NO;deficiente;indecisos;65
Ica;2871;2008;7413;12292;2212.56;27;SQIXGW;NO;buena;exigentes;77
